geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
01012,-23.548945985189434,-46.63467113292871,sao paulo,SP
01027,-23.538301166801343,-46.63076391104508,sao paulo,SP
01033,-23.54032130474925,-46.636394815973325,sao paulo,SP
01031,-23.537304315614186,-46.633862438491114,sao paulo,SP
01022,-23.544986605055076,-46.63345367485142,sao paulo,SP
01014,-23.546940580846673,-46.633311921420805,sao paulo,SP
01026,-23.53984025062037,-46.6302639919499,sao paulo,SP
01021,-23.54516769470249,-46.632248679583284,sao paulo,SP
01044,-23.544896375238064,-46.64201998306312,são paulo,SP
01019,-23.55188848459232,-46.63008934096028,sao paulo,SP
01044,-23.545626999163286,-46.64140988467314,sao paulo,SP
01019,-23.55173348265909,-46.630302710110165,são paulo,SP
01005,-23.54947149598929,-46.637403877748234,sao paulo,SP
01012,-23.54701177397665,-46.634828728075746,sao paulo,SP
01033,-23.542949999999962,-46.63529999999997,sao paulo,SP
01019,-23.551889908967603,-46.63105318887411,sao paulo,SP
01044,-23.547276880373964,-46.6399237790698,sao paulo,SP
01012,-23.54900820122337,-46.63452647668646,sao paulo,SP
01033,-23.54032130474925,-46.636394815973325,sao paulo,SP
01035,-23.5439473297362,-46.63739650167344,sao paulo,SP
01026,-23.53984025062037,-46.6302639919499,são paulo,SP
01022,-23.544986605055076,-46.63345367485142,sao paulo,SP
01014,-23.544631844566954,-46.63393720301238,sao paulo,SP
01019,-23.551405529008704,-46.63058033341841,sao paulo,SP
01012,-23.54799237468981,-46.63463255343638,são paulo,SP
01046,-23.546817419095163,-46.64537999999999,sao paulo,SP
01042,-23.544009031363597,-46.641499354982955,sao paulo,SP
01049,-23.547837310577627,-46.64099781196259,sao paulo,SP
01022,-23.54481763780367,-46.63327164210284,sao paulo,SP
01040,-23.54160305551385,-46.639215518870124,sao paulo,SP
01019,-23.552151883432384,-46.63080224715792,sao paulo,SP
01042,-23.544009031363597,-46.641499354982955,sao paulo,SP
01026,-23.53984025062037,-46.6302639919499,sao paulo,SP
01046,-23.545083855675458,-46.643162794333236,sao paulo,SP
